assists,attacking_bonus,big_chances_created,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clearances_blocks_interceptions,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,crosses,defending_bonus,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,id,in_dreamteam,key_passes,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,recoveries,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
3,8,3,100,100,6,76,28654,0,0,-2,2,28,12,1,2,3.0,0.0,1,Martin,0.0,18,1,147,False,25,1646,,2021-10-29T15:23:13.829145Z,73,0,0,0,28654.jpg,3.9,105,1,0,Olsson,1.1,False,None,a,1,993,90,1534,0,1340,0,0.0,12.3,Olsson,2
0,0,0,100,100,3,18,531041,0,0,-2,2,0,19,2,1,0.3,0.0,0,Ismael,0.0,26,0,397,False,0,1395,,2021-05-11T18:47:42.543360Z,43,0,0,1,531041.jpg,4.6,152,0,69,Diawara,7.1,False,None,a,1,993,73,3605,0,3385,0,0.0,17.0,Diawara,3
0,0,0,0,0,0,0,535502,0,0,-2,2,0,0,0,3,0.0,0.0,0,Ismael,0.0,0,0,427,False,0,0,Utlånad till Jammerbugt,2021-07-01T09:51:31.231665Z,43,0,0,0,535502.jpg,0.0,0,0,0,Sidibe,0.1,False,None,u,1,993,0,1,0,13,0,0.0,0.0,Sidibe,0
0,0,0,None,None,0,0,534212,0,0,0,0,0,0,0,3,0.0,0.0,0,Markus,0.0,0,0,448,False,0,14,,None,45,0,0,0,534212.jpg,1.0,1,0,0,Björkqvist,0.0,False,None,a,1,993,4,1,0,0,0,0.0,0.9,Björkqvist,0
1,1,1,100,100,2,11,486548,0,0,-6,6,2,1,1,4,4.0,0.0,1,Abdul Malik,0.0,6,3,457,False,8,537,,2021-10-25T07:37:05.836136Z,69,0,0,0,486548.jpg,2.3,23,0,0,Abubakari,0.2,False,None,a,1,993,34,321,0,273,0,0.0,4.9,Abubakari,4
0,0,0,100,100,4,29,50448,0,0,-4,4,0,6,0,2,5.0,0.0,8,Niklas,0.0,3,0,458,False,2,607,,2021-09-09T13:52:44.055140Z,61,0,0,0,50448.jpg,3.9,39,0,0,Moisander,0.2,False,None,a,1,993,35,234,0,148,0,0.0,5.7,Moisander,1
0,0,0,100,100,0,5,461870,0,0,-4,4,0,0,0,3,0.3,0.0,0,Peter,0.0,1,0,459,False,1,83,,2021-08-16T09:05:47.046096Z,71,0,0,0,461870.jpg,0.4,4,1,0,Gwargis,0.0,False,None,a,1,993,2,14,0,11,0,0.0,0.3,Gwargis,0
0,4,0,100,100,4,12,201504,0,0,-2,2,9,10,0,3,4.0,0.0,4,Sergio,0.0,5,0,481,False,18,581,,2021-11-19T14:29:19.535686Z,88,0,0,0,201504.jpg,3.3,87,0,0,Peña,0.2,False,None,a,1,993,30,244,0,162,0,0.0,3.4,Peña,4
0,0,0,None,None,0,0,551044,0,0,0,0,0,0,0,2,0.0,0.0,0,Emil,0.0,0,0,506,False,0,0,,None,40,0,0,0,551044.jpg,0.0,0,0,0,Lindman,0.0,False,None,a,1,993,0,3,0,1,0,0.0,0.0,Lindman,0
0,0,0,100,100,0,0,82250,0,0,-1,1,0,2,0,1,0.0,0.0,0,Davor,0.0,2,0,30,False,0,90,,2021-04-03T11:47:41.241228Z,49,0,0,0,82250.jpg,3.0,12,0,1,Blazevic,0.1,False,None,a,2,1987,3,4,0,22,0,0.0,0.6,Blazevic,0
0,0,0,None,None,6,18,52629,0,0,-2,2,0,26,2,1,0.0,0.0,1,David,0.0,29,0,31,False,3,1906,,None,53,0,0,1,52629.jpg,4.9,200,0,73,Ousted,6.7,False,None,a,2,1987,107,1245,0,1920,0,0.0,20.2,Ousted,0
0,0,0,100,100,2,10,484389,0,0,-1,1,0,9,0,1,5.0,0.0,2,Oliver,0.0,10,0,32,False,0,703,,2021-09-23T15:56:09.910886Z,44,0,0,0,484389.jpg,4.6,70,0,28,Dovin,1.5,False,None,a,2,1987,37,442,0,481,0,0.0,8.4,Dovin,0
4,5,5,100,100,7,162,60641,0,0,0,0,8,27,3,2,4.7,0.0,2,Mads,0.0,40,1,33,False,19,2542,,2021-10-13T11:26:33.898843Z,55,0,0,0,60641.jpg,4.0,137,0,0,Fenger,4.2,False,None,a,2,1987,116,1261,0,1368,0,0.0,21.1,Fenger,5
