assists,bonus,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,goals_conceded,goals_scored,id,in_dreamteam,minutes,news,news_added,now_cost,own_goals,penalties_missed,penalties_saved,photo,points_per_game,red_cards,saves,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,0,100,100,2,450034,0,0,-2,2,0,2,1.3,0.0,2,Ole Martin,0.0,32,0,35,False,1765,,2021-12-08T19:47:05.711875Z,48,0,0,0,450034.jpg,1.7,0,0,Kolskogen,0.8,False,None,a,2,303,40,199,0,301,0,0.0,8.3,Kolskogen,1
1,3,100,100,0,497949,0,0,-1,1,1,2,1.3,0.0,14,David,0.0,22,1,36,False,791,,2021-06-11T09:38:38.945340Z,49,0,0,0,497949.jpg,1.6,0,0,Wolfe,0.3,False,None,a,2,303,32,79,0,97,0,0.0,6.5,Wolfe,0
2,11,0,0,2,111851,0,0,0,0,1,2,0.0,0.0,0,Ruben,0.0,46,1,37,False,2162,Armbrudd,2021-11-06T17:47:50.937572Z,45,0,0,0,111851.jpg,2.5,0,0,Kristiansen,4.2,False,None,i,2,303,64,3699,0,4697,0,0.0,14.2,Kristiansen,2
0,0,100,100,2,460844,0,0,-2,2,0,3,0.0,0.0,0,Filip Møller,0.0,11,0,38,False,430,,2021-06-30T19:20:08.150761Z,73,0,0,0,460844.jpg,1.5,0,0,Delaveris,0.4,False,None,a,2,303,18,25,0,251,0,0.0,2.5,Delaveris,0
9,14,100,100,1,171770,0,0,-1,1,1,3,5.0,0.0,4,Robert,0.0,46,6,39,False,2239,,2021-09-20T09:24:21.741014Z,74,0,2,0,171770.jpg,4.5,0,0,Taylor,6.7,False,None,a,2,303,122,3488,0,6090,0,0.0,16.5,Taylor,0
4,6,100,100,3,182321,0,0,-2,2,1,3,2.0,0.0,2,Petter,0.0,45,1,40,False,2304,,2021-11-04T11:45:42.187054Z,68,0,1,0,182321.jpg,2.7,0,0,Strand,5.1,False,None,a,2,303,74,562,0,2076,0,0.0,10.9,Strand,2
1,0,100,100,0,463379,0,0,0,0,0,3,0.3,0.0,1,Moonga,0.0,14,1,41,False,818,,2021-04-08T11:01:30.757561Z,70,0,0,0,463379.jpg,1.6,0,0,Simba,0.3,False,None,a,2,303,32,167,0,184,0,0.0,4.6,Simba,1
5,6,100,100,3,184269,0,0,0,0,0,3,3.0,0.0,2,Mathias,0.0,38,2,42,False,1934,,2021-08-27T13:33:57.142990Z,60,0,0,0,184269.jpg,2.9,0,0,Rasmussen,0.5,False,None,a,2,303,79,529,0,483,0,0.0,13.2,Rasmussen,3
0,0,0,0,1,95528,0,0,-3,3,0,3,0.0,0.0,0,Kristoffer,0.0,21,0,43,False,886,Kontrakt terminert,2021-08-18T11:53:43.468609Z,52,0,0,0,95528.jpg,1.8,0,0,Barmen,1.1,False,None,u,2,303,21,110,0,908,0,0.0,4.0,Barmen,1
2,1,100,100,2,115102,0,0,0,0,0,3,0.7,0.0,0,Kasper,0.0,22,1,44,False,1225,,2021-08-27T13:33:57.165116Z,55,0,0,0,115102.jpg,2.2,0,0,Skaanes,0.5,False,None,a,2,303,44,279,0,420,0,0.0,8.0,Skaanes,2
0,0,None,None,0,477564,0,0,-3,3,0,3,0.0,0.0,0,Mikal,0.0,0,0,45,False,0,,None,47,0,0,0,477564.jpg,0.0,0,0,Berg Kvinge,0.1,False,None,a,2,303,0,6,0,29,0,0.0,0.0,Kvinge,0
0,0,0,0,0,101294,0,0,0,0,0,3,0.0,0.0,0,Daniel A.,0.0,17,1,46,False,935,Smell,2021-12-08T19:47:05.796852Z,50,0,0,0,101294.jpg,2.1,0,0,Pedersen,0.1,False,None,i,2,303,29,62,0,77,0,0.0,5.8,Pedersen,0
1,2,0,0,2,245736,0,0,-2,2,1,4,0.0,0.0,0,Daouda,0.0,25,6,47,False,1116,Solgt til Altay Spor Kulübü,2021-07-27T20:09:40.711099Z,88,0,0,0,245736.jpg,3.8,0,0,Bamba,9.2,False,None,u,2,303,53,2629,0,6459,0,0.0,6.0,Bamba,2
3,14,100,100,2,449366,0,0,1,-1,2,4,3.7,0.0,7,Aune Selland,0.0,31,8,48,False,1661,,2021-07-09T12:03:22.497240Z,61,0,0,0,449366.jpg,4.3,0,0,Heggebø,6.9,False,None,a,2,303,95,6293,0,4457,0,0.0,15.6,Heggebø,1
0,0,None,None,0,108130,0,0,-2,2,0,1,0.0,0.0,0,Helge,0.0,0,0,49,False,0,,None,48,0,0,0,108130.jpg,0.0,0,0,Sandvik,1.9,False,None,a,3,3376,0,84,0,520,0,0.0,0.0,Sandvik,0
0,14,100,100,9,477192,0,0,4,-4,2,1,5.0,0.0,2,Egil,0.0,44,0,50,False,2610,,2021-10-02T11:42:01.832421Z,54,0,0,2,477192.jpg,4.2,0,93,Selvik,10.1,False,None,a,3,3376,122,9602,0,5089,0,0.0,22.6,Selvik,0
0,0,0,0,0,449397,0,0,0,0,0,1,0.0,0.0,0,Frank,0.0,1,0,51,False,90,Utlånt til Stjørdals-Blink ut sesongen,2021-08-13T20:30:25.512273Z,40,0,0,0,449397.jpg,2.0,0,1,Stople,13.7,False,None,u,3,3376,2,1196,0,6779,0,0.0,0.5,Stople,0
1,0,None,None,2,179304,0,0,-4,4,1,2,0.3,0.0,1,Alexander,0.0,25,2,52,False,1138,,None,61,1,0,0,179304.jpg,2.0,0,0,Stølås,1.2,False,None,a,3,3376,47,853,0,845,0,0.0,7.7,Stølås,2
0,6,0,0,6,140246,0,0,2,-2,1,2,0.0,0.0,0,Mikkel,0.0,7,1,53,False,900,Solgt til Toulouse FC,2021-07-20T20:25:25.777124Z,62,0,0,0,140246.jpg,5.3,0,0,Desler,1.4,False,None,u,3,3376,53,5934,0,5722,0,0.0,8.5,Desler,0
0,7,None,None,9,433463,0,0,1,-1,1,2,4.0,0.0,1,Benjamin,0.0,44,2,54,False,2610,,None,56,0,0,0,433463.jpg,3.2,0,0,Tiedemann Hansen,4.4,False,None,a,3,3376,94,2772,0,1493,0,0.0,16.8,Tiedemann,2
0,0,100,100,6,421776,0,0,-1,1,0,2,1.0,0.0,1,Ulrik,0.0,42,0,55,False,2340,,2021-05-13T11:41:38.871170Z,49,1,0,0,421776.jpg,2.1,0,0,Fredriksen,0.9,False,None,a,3,3376,57,557,0,565,0,0.0,11.6,Fredriksen,3
1,1,50,50,2,245578,0,0,-1,1,0,2,0.0,0.0,1,Fredrik,0.0,24,1,56,False,1288,Lårskade - Sjanse for å spille: 75%,2021-12-03T15:04:29.648687Z,49,0,0,0,245578.jpg,1.8,1,0,Pallesen Knudsen,1.2,False,None,d,2,303,33,655,0,748,0,0.0,6.7,Pallesen Knudsen,5
5,0,100,100,7,476848,0,0,0,0,0,2,4.0,0.0,4,Thore Baardsen,0.0,39,0,57,False,2202,,2021-10-02T11:42:01.848554Z,50,0,0,0,476848.jpg,2.9,0,0,Pedersen,0.7,False,None,a,3,3376,75,237,0,211,0,0.0,15.0,Pedersen,5
10,11,0,0,7,421159,0,0,1,-1,3,3,0.0,0.0,0,Kristoffer,0.0,40,7,58,True,2391,Suspendert,2021-12-05T18:27:58.529150Z,86,0,0,0,421159.jpg,4.7,0,0,Velde,12.4,False,None,s,3,3376,135,17127,0,12061,0,0.0,15.7,Velde,4
8,7,100,100,7,182186,0,0,-1,1,2,3,3.3,0.0,2,Niklas,0.0,37,3,59,False,2200,,2021-06-30T16:32:16.909998Z,74,0,0,0,182186.jpg,3.8,0,0,Sandberg,1.9,False,None,a,3,3376,105,2276,0,2149,0,0.0,14.2,Sandberg,1
1,6,100,100,6,523680,0,0,-1,1,1,3,1.3,0.0,3,Alioune,0.0,13,7,60,False,1000,,2021-06-13T17:41:10.467857Z,69,0,0,0,523680.jpg,3.1,1,0,Ndour,2.9,False,None,a,3,3376,81,507,0,880,0,0.0,11.7,Ndour,1
3,4,None,None,9,486788,0,0,0,0,1,3,3.0,0.0,2,Peter,0.0,44,2,61,False,2559,,None,60,0,0,0,486788.jpg,2.9,0,0,Therkildsen,0.2,False,None,a,3,3376,88,200,0,174,0,0.0,14.7,Therkildsen,3
2,3,100,100,9,224097,0,0,-1,1,1,3,1.0,0.0,2,Kevin Martin,0.0,41,1,62,False,2510,,2021-11-20T18:44:10.686539Z,49,0,0,0,224097.jpg,2.6,0,0,Krygård,0.4,False,None,a,3,3376,76,154,0,180,0,0.0,15.5,Krygård,5
2,0,0,0,2,247408,0,0,-1,1,0,3,0.0,0.0,0,Bruno,0.0,3,0,63,False,410,Signert for Pafos FC,2021-07-28T16:05:22.939154Z,49,0,0,0,247408.jpg,2.0,0,0,Leite,0.4,False,None,u,3,3376,20,70,0,185,0,0.0,4.1,Leite,1
0,0,0,0,0,232031,0,0,-1,1,0,3,0.0,0.0,0,Kristoffer,0.0,1,0,64,False,32,Solgt til Ull/Kisa,2021-07-28T16:05:22.958334Z,44,0,0,0,232031.jpg,1.0,0,0,Gunnarshaug,0.1,False,None,u,3,3376,4,10,0,40,0,0.0,0.9,Gunnarshaug,0
0,0,None,None,0,206927,0,0,-1,1,0,3,0.3,0.0,1,Mads,0.0,7,1,65,False,368,,None,44,0,0,0,206927.jpg,1.2,0,0,Berg Sande,0.2,False,None,a,3,3376,29,31,0,47,0,0.0,6.6,Berg Sande,1
0,7,0,0,3,210198,0,0,0,0,2,4,0.0,0.0,0,Ibrahima,0.0,18,8,66,False,898,Solgt til Qarabag FK,2021-08-18T17:02:40.378426Z,80,0,0,0,210198.jpg,4.8,0,0,Wadji,3.8,False,None,u,3,3376,62,4520,0,5246,0,0.0,7.8,Wadji,1
5,15,100,100,9,450563,0,0,0,0,1,4,3.7,0.0,2,Sondre,0.0,38,5,67,False,2294,,2021-10-24T17:09:00.051159Z,70,0,0,0,450563.jpg,3.6,0,0,Liseth,3.2,False,None,a,3,3376,100,2895,0,2799,0,0.0,14.3,Liseth,5
0,0,0,0,0,508941,0,0,-2,2,0,4,0.0,0.0,0,Andreas,0.0,0,0,68,False,8,Utlånt til Vard,2021-07-29T19:57:13.016876Z,43,0,0,0,508941.jpg,1.0,0,0,Endresen,1.4,False,None,u,3,3376,1,841,0,1666,0,0.0,0.2,Endresen,0
0,10,100,100,9,113563,0,0,8,-8,2,1,1.3,0.0,2,Sean,0.0,45,0,69,False,2663,,2021-08-08T17:13:35.605533Z,58,0,0,2,113563.jpg,4.1,0,96,McDermott,26.2,False,None,a,4,3835,122,13871,0,6226,0,0.0,21.0,McDermott,1
0,0,100,100,0,245728,0,0,0,0,0,1,0.0,0.0,0,Serigne,0.0,0,0,70,False,0,,2021-04-20T13:53:42.379167Z,45,0,0,0,245728.jpg,0.0,0,0,Mor Mbaye,0.2,False,None,a,4,3835,0,10,0,38,0,0.0,0.0,Mbaye,0
3,2,50,50,7,91120,0,0,-1,1,2,2,0.5,0.0,0,Christoffer,0.0,17,1,71,False,1327,Smell - Sjanse for å spille: 50%,2021-11-30T14:52:19.740459Z,54,0,0,0,91120.jpg,4.2,0,0,Aasbak,1.1,False,None,d,4,3835,71,1712,0,1781,0,0.0,13.1,Aasbak,1
0,8,100,100,5,95512,0,0,-2,2,2,2,0.3,0.0,0,Dan Peter,0.0,29,1,72,False,1685,,2021-05-27T17:19:55.165268Z,48,1,0,0,95512.jpg,2.8,0,0,Ulvestad,4.5,False,None,a,4,3835,58,3437,0,3597,0,0.0,12.1,D. Ulvestad,3
2,7,0,0,8,223815,0,0,10,-10,3,2,0.0,0.0,0,Snorre,0.0,37,6,73,True,2388,Suspendert,2021-12-05T18:33:18.333403Z,60,0,0,0,223815.jpg,4.2,0,0,Nilsen,16.9,False,None,s,4,3835,119,15793,0,9159,0,0.0,19.8,Strand Nilsen,4
0,0,0,0,0,179258,0,0,-2,2,0,2,0.0,0.0,0,Bent,0.0,8,0,74,False,388,Solgt til Zulte Waregem,2021-06-30T15:56:38.770673Z,48,0,0,0,179258.jpg,1.0,0,0,Sørmo,2.1,False,None,u,4,3835,5,36,0,2114,0,0.0,1.0,Sørmo,1
0,0,100,100,0,106215,0,0,-3,3,0,2,0.0,0.0,0,Ivar,0.0,3,0,75,False,92,,2021-07-09T12:04:05.870363Z,42,0,0,0,106215.jpg,1.0,0,0,Furu,0.3,False,None,a,4,3835,2,31,0,204,0,0.0,0.5,Furu,0
2,8,None,None,7,156434,0,0,3,-3,1,2,1.0,0.0,3,Aliou,0.0,37,1,76,False,2246,,None,48,0,0,0,156434.jpg,3.0,0,0,Coly,16.0,False,None,a,4,3835,85,7588,0,7369,0,0.0,17.7,Coly,4
0,0,100,100,0,245729,0,0,-2,2,0,2,0.7,0.0,2,Erlend,0.0,16,0,77,False,580,,2021-10-13T11:28:38.197089Z,43,0,0,0,245729.jpg,0.7,0,0,Sivertsen,0.2,False,None,a,4,3835,11,36,0,95,0,0.0,2.6,E. Sivertsen,2
0,0,100,100,0,479310,0,0,-1,1,0,2,0.7,0.0,0,Max Normann,0.0,10,0,78,False,245,,2021-06-29T17:36:52.378930Z,39,1,0,0,479310.jpg,0.8,0,0,Williamsen,2.1,False,None,a,4,3835,8,598,0,1175,0,0.0,2.1,Williamsen,0
6,5,100,100,3,66338,0,0,-2,2,0,3,1.3,0.0,4,Liridon,0.0,18,1,79,False,1115,,2021-05-11T10:33:33.605917Z,63,0,0,0,66338.jpg,2.5,0,0,Kalludra,1.4,False,None,a,4,3835,62,38,0,1697,0,0.0,9.8,Kalludra,3
1,1,100,100,7,63984,0,0,-1,1,0,3,3.3,0.0,6,Bendik,0.0,30,7,80,False,1865,,2021-07-02T15:58:25.018385Z,64,0,1,0,63984.jpg,3.5,0,0,Bye,1.6,False,None,a,4,3835,90,1896,0,1825,0,0.0,14.1,Bye,0
6,5,None,None,4,179457,0,0,-3,3,1,3,3.3,0.0,3,Agon,0.0,23,4,81,False,1388,,None,62,0,0,0,179457.jpg,3.2,0,0,Mucolli,0.6,False,None,a,4,3835,84,585,0,520,0,0.0,13.5,Mucolli,3
1,0,100,100,5,434030,0,0,-2,2,0,3,1.0,0.0,2,Brynjólfur Darri,0.0,10,0,82,False,690,,2021-04-08T11:02:43.170767Z,58,0,0,0,434030.jpg,1.5,0,0,Willumsson,0.1,False,None,a,4,3835,31,31,0,37,0,0.0,5.3,Willumsson,4
4,11,100,100,7,225946,0,0,-1,1,0,3,4.3,0.0,1,Olaus,0.0,19,1,83,False,1482,,2021-07-27T12:28:45.523081Z,59,0,0,0,225946.jpg,2.6,0,0,Skarsem,1.2,False,None,a,8,197,74,838,0,1011,0,0.0,12.5,Skarsem,3
2,6,100,100,5,524504,0,0,-2,2,1,3,1.0,0.0,1,Sander,0.0,20,4,84,False,1237,,2021-11-21T17:56:22.712231Z,58,0,0,0,524504.jpg,2.7,0,0,Kartum,0.5,False,None,a,4,3835,70,614,0,686,0,0.0,12.1,Kartum,4
2,0,100,100,1,61959,0,0,-1,1,0,3,0.7,0.0,1,Amin,0.0,14,0,85,False,702,,2021-08-18T10:34:36.631394Z,54,0,0,0,61959.jpg,1.7,0,0,Askar,0.5,False,None,a,4,3835,30,10,0,314,0,0.0,5.6,Askar,1
2,0,100,100,3,95569,0,0,-1,1,0,3,1.3,0.0,4,Pål Erik,0.0,17,0,86,False,832,,2021-09-26T17:58:16.895673Z,44,0,0,0,95569.jpg,1.6,0,0,Ulvestad,1.3,False,None,a,4,3835,33,489,0,664,0,0.0,7.5,P. Ulvestad,4
0,0,0,0,0,424985,0,0,0,0,0,3,0.0,0.0,0,Horenus,0.0,0,0,87,False,0,Solgt til Sandnes Ulf,2021-05-12T17:19:37.127365Z,45,0,0,0,424985.jpg,0.0,0,0,Taddese,0.1,False,None,u,4,3835,0,1,0,34,0,0.0,0.0,Taddese,0
0,0,0,0,0,250693,0,0,-1,1,0,3,0.0,0.0,0,Ousseynou Cavin,0.0,0,0,88,False,0,Kontrakt terminert,2021-06-01T21:53:18.825753Z,44,0,0,0,250693.jpg,0.0,0,0,Diagne,0.1,False,None,u,4,3835,0,28,0,86,0,0.0,0.0,Diagne,0
0,0,100,100,10,195572,0,0,-1,1,0,3,1.0,0.0,3,Amidou,0.0,29,0,89,False,2028,,2021-07-11T15:46:18.435386Z,44,0,0,0,195572.jpg,2.1,0,0,Diop,2.8,False,None,a,4,3835,58,1045,0,1601,0,0.0,13.2,Diop,2
0,0,0,0,0,513919,0,0,0,0,0,3,0.0,0.0,0,Noah,0.0,0,0,90,False,0,Solgt til Sogndal,2021-04-26T15:07:05.439565Z,45,0,0,0,513919.jpg,0.0,0,0,Solskjær,0.1,False,None,u,4,3835,0,0,0,28,0,0.0,0.0,Solskjær,0
