,Season,Formation,Budget,Best total cost,Best total points,Individual costs,Sorted individual costs,Id
0,,,500,500,1167,"[44, 43, 44, 45, 46, 46, 44, 46, 49, 50, 43]","[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[336, 290, 439, 416, 42, 536, 56, 34, 278, 436, 574]"
1,,,550,550,1397,"[44, 44, 45, 49, 58, 62, 46, 49, 50, 52, 51]","[44, 44, 45, 46, 49, 49, 50, 51, 52, 58, 62]","[336, 439, 416, 202, 111, 48, 34, 278, 436, 33, 54]"
2,,,600,599,1563,"[63, 44, 45, 46, 58, 62, 49, 50, 64, 67, 51]","[44, 45, 46, 49, 50, 51, 58, 62, 63, 64, 67]","[500, 439, 416, 42, 111, 48, 278, 436, 77, 78, 54]"
3,,,650,650,1702,"[63, 45, 49, 58, 62, 89, 50, 52, 64, 67, 51]","[45, 49, 50, 51, 52, 58, 62, 63, 64, 67, 89]","[500, 416, 202, 111, 48, 394, 436, 33, 77, 78, 54]"
4,,,700,700,1821,"[63, 45, 49, 62, 89, 91, 50, 64, 67, 69, 51]","[45, 49, 50, 51, 62, 63, 64, 67, 69, 89, 91]","[500, 416, 202, 48, 394, 398, 436, 77, 78, 561, 54]"
5,,,750,749,1930,"[101, 45, 58, 62, 89, 91, 52, 64, 67, 69, 51]","[45, 51, 52, 58, 62, 64, 67, 69, 89, 91, 101]","[143, 416, 111, 48, 394, 398, 33, 77, 78, 561, 54]"
6,,,800,799,2020,"[63, 62, 74, 89, 91, 117, 52, 64, 67, 69, 51]","[51, 52, 62, 63, 64, 67, 69, 74, 89, 91, 117]","[500, 48, 368, 394, 398, 12, 33, 77, 78, 561, 54]"
7,,,850,847,2103,"[101, 62, 74, 89, 91, 117, 62, 64, 67, 69, 51]","[51, 62, 62, 64, 67, 69, 74, 89, 91, 101, 117]","[143, 48, 368, 394, 398, 12, 384, 77, 78, 561, 54]"
8,,,900,890,2149,"[101, 74, 89, 91, 105, 117, 62, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 74, 89, 91, 101, 105, 117]","[143, 368, 394, 398, 82, 12, 384, 77, 78, 561, 54]"
9,,,950,939,2170,"[119, 89, 91, 105, 105, 117, 62, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 89, 91, 105, 105, 117, 119]","[403, 394, 398, 82, 235, 12, 384, 77, 78, 561, 54]"
10,,,1000,939,2170,"[119, 89, 91, 105, 105, 117, 62, 64, 67, 69, 51]","[51, 62, 64, 67, 69, 89, 91, 105, 105, 117, 119]","[403, 394, 398, 82, 235, 12, 384, 77, 78, 561, 54]"
0,,,500,500,1144,"[44, 46, 43, 44, 45, 44, 46, 46, 49, 50, 43]","[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[336, 70, 290, 439, 416, 56, 34, 321, 278, 436, 574]"
1,,,550,550,1370,"[44, 63, 44, 45, 62, 44, 46, 49, 50, 52, 51]","[44, 44, 44, 45, 46, 49, 50, 51, 52, 62, 63]","[336, 500, 439, 416, 48, 56, 34, 278, 436, 33, 54]"
2,,,600,599,1542,"[57, 63, 45, 58, 62, 48, 49, 50, 52, 64, 51]","[45, 48, 49, 50, 51, 52, 57, 58, 62, 63, 64]","[67, 500, 416, 111, 48, 32, 278, 436, 33, 77, 54]"
3,,,650,649,1684,"[57, 74, 45, 58, 62, 50, 52, 64, 67, 69, 51]","[45, 50, 51, 52, 57, 58, 62, 64, 67, 69, 74]","[67, 355, 416, 111, 48, 436, 33, 77, 78, 561, 54]"
4,,,700,700,1796,"[63, 74, 45, 62, 91, 52, 62, 64, 67, 69, 51]","[45, 51, 52, 62, 62, 63, 64, 67, 69, 74, 91]","[500, 355, 416, 48, 398, 33, 384, 77, 78, 561, 54]"
5,,,750,750,1892,"[63, 101, 62, 74, 91, 52, 56, 64, 67, 69, 51]","[51, 52, 56, 62, 63, 64, 67, 69, 74, 91, 101]","[500, 143, 48, 368, 398, 33, 126, 77, 78, 561, 54]"
6,,,800,798,1993,"[74, 101, 62, 91, 117, 50, 52, 64, 67, 69, 51]","[50, 51, 52, 62, 64, 67, 69, 74, 91, 101, 117]","[355, 143, 48, 398, 12, 436, 33, 77, 78, 561, 54]"
7,,,850,849,2053,"[101, 119, 62, 91, 117, 52, 56, 64, 67, 69, 51]","[51, 52, 56, 62, 64, 67, 69, 91, 101, 117, 119]","[143, 403, 48, 398, 12, 33, 126, 77, 78, 561, 54]"
8,,,900,898,2108,"[101, 119, 91, 105, 117, 52, 62, 64, 67, 69, 51]","[51, 52, 62, 64, 67, 69, 91, 101, 105, 117, 119]","[143, 403, 398, 82, 12, 33, 384, 77, 78, 561, 54]"
9,,,950,904,2109,"[101, 119, 91, 105, 117, 58, 62, 64, 67, 69, 51]","[51, 58, 62, 64, 67, 69, 91, 101, 105, 117, 119]","[143, 403, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
10,,,1000,904,2109,"[101, 119, 91, 105, 117, 58, 62, 64, 67, 69, 51]","[51, 58, 62, 64, 67, 69, 91, 101, 105, 117, 119]","[143, 403, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
0,,,500,500,1170,"[44, 43, 44, 45, 46, 44, 46, 46, 49, 50, 43]","[43, 43, 44, 44, 44, 45, 46, 46, 46, 49, 50]","[336, 290, 439, 416, 42, 56, 34, 321, 278, 436, 574]"
1,,,550,550,1391,"[44, 43, 44, 45, 62, 46, 49, 50, 52, 64, 51]","[43, 44, 44, 45, 46, 49, 50, 51, 52, 62, 64]","[336, 290, 439, 416, 48, 34, 278, 436, 33, 77, 54]"
2,,,600,599,1565,"[57, 44, 45, 58, 62, 49, 50, 52, 64, 67, 51]","[44, 45, 49, 50, 51, 52, 57, 58, 62, 64, 67]","[67, 439, 416, 111, 48, 278, 436, 33, 77, 78, 54]"
3,,,650,649,1705,"[63, 45, 58, 62, 68, 50, 52, 64, 67, 69, 51]","[45, 50, 51, 52, 58, 62, 63, 64, 67, 68, 69]","[500, 416, 111, 48, 90, 436, 33, 77, 78, 561, 54]"
4,,,700,700,1824,"[63, 45, 62, 89, 91, 49, 50, 64, 67, 69, 51]","[45, 49, 50, 51, 62, 63, 64, 67, 69, 89, 91]","[500, 416, 48, 394, 398, 278, 436, 77, 78, 561, 54]"
5,,,750,749,1916,"[101, 45, 62, 89, 91, 52, 58, 64, 67, 69, 51]","[45, 51, 52, 58, 62, 64, 67, 69, 89, 91, 101]","[143, 416, 48, 394, 398, 33, 125, 77, 78, 561, 54]"
6,,,800,798,2008,"[101, 62, 74, 91, 117, 50, 52, 64, 67, 69, 51]","[50, 51, 52, 62, 64, 67, 69, 74, 91, 101, 117]","[143, 48, 368, 398, 12, 436, 33, 77, 78, 561, 54]"
7,,,850,847,2063,"[101, 62, 91, 105, 117, 58, 62, 64, 67, 69, 51]","[51, 58, 62, 62, 64, 67, 69, 91, 101, 105, 117]","[143, 48, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
8,,,900,892,2106,"[119, 89, 91, 105, 117, 58, 62, 64, 67, 69, 51]","[51, 58, 62, 64, 67, 69, 89, 91, 105, 117, 119]","[403, 394, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
9,,,950,892,2106,"[119, 89, 91, 105, 117, 58, 62, 64, 67, 69, 51]","[51, 58, 62, 64, 67, 69, 89, 91, 105, 117, 119]","[403, 394, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
10,,,1000,892,2106,"[119, 89, 91, 105, 117, 58, 62, 64, 67, 69, 51]","[51, 58, 62, 64, 67, 69, 89, 91, 105, 117, 119]","[403, 394, 398, 82, 12, 125, 384, 77, 78, 561, 54]"
0,,,500,500,1089,"[46, 48, 49, 43, 43, 44, 45, 44, 45, 46, 47]","[43, 43, 44, 44, 45, 45, 46, 46, 47, 48, 49]","[548, 347, 159, 367, 41, 127, 90, 117, 171, 468, 350]"
1,,,550,549,1357,"[46, 54, 55, 44, 52, 52, 59, 45, 46, 49, 47]","[44, 45, 46, 46, 47, 49, 52, 52, 54, 55, 59]","[548, 437, 302, 127, 132, 414, 70, 171, 468, 443, 350]"
