cost,points_total,indexes
895,1244,"[372, 253, 270, 122, 251, 117, 501, 290, 424, 163, 282]"
893,1124,"[372, 253, 270, 122, 251, 117, 501, 290, 424, 163, 111]"
887,1298,"[372, 253, 270, 122, 251, 501, 290, 424, 163, 404, 468]"
885,1242,"[372, 253, 270, 122, 251, 501, 290, 424, 163, 404, 282]"
883,1122,"[372, 253, 270, 122, 251, 501, 290, 424, 163, 404, 111]"
970,1860,"[372, 253, 270, 122, 295, 246, 247, 288, 265, 113, 468]"
968,1804,"[372, 253, 270, 122, 295, 246, 247, 288, 265, 113, 282]"
966,1684,"[372, 253, 270, 122, 295, 246, 247, 288, 265, 113, 111]"
967,1761,"[372, 253, 270, 122, 295, 246, 247, 288, 265, 267, 468]"
965,1705,"[372, 253, 270, 122, 295, 246, 247, 288, 265, 267, 282]"
963,1585,"[372, 253, 270, 122, 295, 246, 247, 288, 265, 267, 111]"
964,1706,"[372, 253, 270, 122, 295, 246, 288, 265, 113, 267, 468]"
962,1650,"[372, 253, 270, 122, 295, 246, 288, 265, 113, 267, 282]"
960,1530,"[372, 253, 270, 122, 295, 246, 288, 265, 113, 267, 111]"
963,1681,"[372, 253, 270, 122, 295, 246, 247, 288, 267, 264, 468]"
961,1625,"[372, 253, 270, 122, 295, 246, 247, 288, 267, 264, 282]"
959,1505,"[372, 253, 270, 122, 295, 246, 247, 288, 267, 264, 111]"
962,1678,"[372, 253, 270, 122, 295, 246, 247, 288, 267, 355, 468]"
960,1622,"[372, 253, 270, 122, 295, 246, 247, 288, 267, 355, 282]"
958,1502,"[372, 253, 270, 122, 295, 246, 247, 288, 267, 355, 111]"
960,1618,"[372, 253, 270, 122, 295, 246, 288, 265, 267, 264, 468]"
958,1562,"[372, 253, 270, 122, 295, 246, 288, 265, 267, 264, 282]"
956,1442,"[372, 253, 270, 122, 295, 246, 288, 265, 267, 264, 111]"
959,1615,"[372, 253, 270, 122, 295, 246, 288, 265, 267, 355, 468]"
957,1559,"[372, 253, 270, 122, 295, 246, 288, 265, 267, 355, 282]"
955,1439,"[372, 253, 270, 122, 295, 246, 288, 265, 267, 355, 111]"
958,1613,"[372, 253, 270, 122, 295, 246, 247, 288, 267, 117, 468]"
956,1557,"[372, 253, 270, 122, 295, 246, 247, 288, 267, 117, 282]"
