total_points,now_cost,indexes
1124,423,"[5203, 3040, 2247, 2234, 4215]"
1125,424,"[2070, 1048, 2247, 2234, 4215]"
1128,426,"[2070, 3040, 2247, 2234, 4215]"
1131,427,"[1048, 3040, 1394, 2234, 4215]"
1142,429,"[1048, 3040, 2247, 2234, 4215]"
1144,438,"[1048, 3040, 1394, 2234, 1012]"
1153,439,"[1048, 1394, 2247, 1398, 2234]"
1155,440,"[1048, 3040, 2247, 2234, 1012]"
1156,441,"[3040, 1394, 2247, 1398, 2234]"
1163,446,"[1048, 2247, 1398, 5390, 2234]"
1166,448,"[3040, 2247, 1398, 5390, 2234]"
1168,450,"[5203, 2247, 1398, 2234, 4215]"
1172,453,"[2070, 2247, 1398, 2234, 4215]"
1179,454,"[1048, 1394, 2247, 2234, 4215]"
1186,456,"[1048, 2247, 1398, 2234, 4215]"
1189,458,"[3040, 2247, 1398, 2234, 4215]"
1192,463,"[3040, 2247, 5390, 2234, 4215]"
1199,467,"[1048, 2247, 1398, 2234, 1012]"
1202,469,"[3040, 2247, 1398, 2234, 1012]"
1203,473,"[1394, 2247, 1398, 5390, 2234]"
1205,474,"[3040, 2247, 5390, 2234, 1012]"
1207,476,"[5203, 2247, 2234, 4215, 1012]"
1211,479,"[2070, 2247, 2234, 4215, 1012]"
1214,480,"[1048, 1394, 2234, 4215, 1012]"
1225,482,"[1048, 2247, 2234, 4215, 1012]"
1226,483,"[1394, 2247, 1398, 2234, 4215]"
1228,484,"[3040, 2247, 2234, 4215, 1012]"
1229,488,"[1394, 2247, 5390, 2234, 4215]"
1236,490,"[2247, 1398, 5390, 2234, 4215]"
1239,494,"[1394, 2247, 1398, 2234, 1012]"
1242,499,"[1394, 2247, 5390, 2234, 1012]"
1249,501,"[2247, 1398, 5390, 2234, 1012]"
1252,507,"[2247, 1398, 2234, 4215, 5302]"
1265,509,"[1394, 2247, 2234, 4215, 1012]"
1272,511,"[2247, 1398, 2234, 4215, 1012]"
1275,516,"[2247, 5390, 2234, 4215, 1012]"
1278,523,"[2247, 3251, 2234, 4215, 1012]"
1285,530,"[2247, 2234, 4215, 3122, 1012]"
1291,533,"[2247, 2234, 4215, 5302, 1012]"
1293,545,"[3251, 2234, 4215, 5302, 1012]"
1295,550,"[1394, 2234, 4215, 1012, 3253]"
1306,552,"[2247, 2234, 4215, 1012, 3253]"
1308,564,"[3251, 2234, 4215, 1012, 3253]"
1315,571,"[2234, 4215, 3122, 1012, 3253]"
1321,574,"[2234, 4215, 5302, 1012, 3253]"
