first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Aliou,Coly,1,2,85,2246,37,7,0,4,16.0,48,DEF
Erlend,Sivertsen,0,0,11,580,16,0,0,2,0.2,43,DEF
Max Normann,Williamsen,0,0,8,245,10,0,0,0,2.1,39,DEF
Liridon,Kalludra,1,6,62,1115,18,3,0,3,1.4,63,MID
Bendik,Bye,7,1,90,1865,30,7,0,0,1.6,64,MID
Agon,Mucolli,4,6,84,1388,23,4,0,3,0.6,62,MID
Brynjólfur Darri,Willumsson,0,1,31,690,10,5,0,4,0.1,58,MID
Olaus,Skarsem,1,4,74,1482,19,7,0,3,1.2,59,MID
Sander,Kartum,4,2,70,1237,20,5,0,4,0.5,58,MID
Amin,Askar,0,2,30,702,14,1,0,1,0.5,54,MID
Pål Erik,Ulvestad,0,2,33,832,17,3,0,4,1.3,44,MID
Horenus,Taddese,0,0,0,0,0,0,0,0,0.1,45,MID
Ousseynou Cavin,Diagne,0,0,0,0,0,0,0,0,0.1,44,MID
Amidou,Diop,0,0,58,2028,29,10,0,2,2.8,44,MID
Noah,Solskjær,0,0,0,0,0,0,0,0,0.1,45,MID
Andreas,Hopmark,1,1,83,2520,40,9,0,1,14.2,44,MID
Flamur,Kastrati,0,1,29,724,15,2,0,3,3.3,65,FWD
Faris,Pemi Moumbagna,0,0,14,521,6,3,0,2,1.2,60,FWD
Oskar Siira,Sivertsen,1,0,8,46,2,0,0,1,9.9,41,FWD
Álex,Craninx,0,0,3,180,6,0,0,0,2.9,42,GK
Mads Hedenstad,Christiansen,0,0,101,2160,25,8,0,0,6.1,46,GK
Emil,Ødegaard,0,0,0,0,0,0,0,0,2.0,40,GK
Vetle,Winger Dragsnes,2,3,102,2671,39,8,0,2,10.0,51,DEF
Igoh,Ogbu,1,2,84,2331,32,7,1,5,8.5,48,DEF
Philip,Slørdahl,0,0,21,855,17,2,0,1,0.1,44,DEF
Simen,Kind Mikalsen,0,0,1,1,0,0,0,0,0.0,43,DEF
Lars,Ranger,2,2,63,1866,32,4,0,8,3.6,42,DEF
Espen,Garnas,2,0,81,2323,32,7,0,6,2.0,46,DEF
Eskil,Edh,1,3,69,1335,17,5,0,4,4.1,43,DEF
Josef,Baccay,0,0,1,1,0,0,0,0,0.7,40,DEF
Erik Tobias,Sandberg,0,0,0,0,0,0,0,0,0.1,40,DEF
Pål André,Helland,1,1,25,337,4,2,0,2,1.0,84,MID
Gjermund,Åsen,2,12,126,2217,31,7,0,0,6.0,80,MID
Daniel,Gustafsson,2,2,67,1567,23,7,0,2,0.4,64,MID
Kaan,Kairinen,1,5,60,1494,19,6,0,1,0.7,60,MID
Tobias,Svendsen,0,2,37,755,15,3,0,1,0.2,59,MID
Fredrik,Krogstad,1,1,36,617,13,0,0,1,0.3,52,MID
Jonatan,Brunes,1,2,29,210,8,0,0,1,0.1,45,MID
Uranik,Seferi,0,0,0,0,0,0,0,0,0.1,44,MID
Apipon,Tongnoy,0,0,0,0,0,0,0,0,0.0,45,MID
Ulrik,Mathisen,1,0,33,664,11,1,0,0,0.2,45,MID
Thomas,Lehne Olsen,26,3,205,2532,33,10,0,3,37.7,100,FWD
Kent,Havard Eriksen,3,2,46,935,30,0,0,0,0.9,57,FWD
Alexander Hrcka,Sannes,0,0,0,0,0,0,0,0,0.2,45,FWD
Andreas,Linde,0,0,89,2250,37,8,0,2,9.3,64,GK
Mathias Eriksen,Ranmark,0,0,0,0,0,0,0,0,0.1,44,GK
Oliver,Petersen,0,0,23,450,3,2,0,0,0.2,45,GK
Marcus,Holmgren Pedersen,0,2,20,476,7,1,0,2,2.1,62,DEF
Kristoffer,Haugen,6,1,114,1934,26,9,0,4,15.1,68,DEF
Kristoffer,Haraldseid,0,0,0,0,0,0,0,0,0.0,59,DEF
Birk,Risa,3,1,54,1064,17,4,1,3,9.6,56,DEF
Stian,Gregersen,1,1,51,983,15,5,0,1,6.5,58,DEF
Sheriff,Sinyan,3,2,90,2007,31,6,0,1,4.4,54,DEF
Martin,Bjørnbak,3,0,93,2318,35,9,1,3,17.6,58,DEF
Fredrik,Sjølstad,0,0,5,120,5,0,0,0,0.0,49,DEF
Magnus,Wolff Eikrem,4,9,106,1611,27,5,0,2,5.8,124,MID
Eirik,Ulland Andersen,6,4,92,1389,21,5,0,3,4.2,82,MID
Eirik,Hestad,3,3,55,1084,20,3,0,0,2.3,81,MID
Mathis,Bolly,3,0,42,593,12,2,0,1,0.4,77,MID
Ola,Brynhildsen,5,13,138,2396,32,9,0,3,20.7,84,MID
Erling,Knudtzon,1,1,49,1268,21,5,0,1,4.0,69,MID
Etzaz,Hussain,2,7,85,1858,27,9,0,4,9.4,61,MID
Martin,Ellingsen,2,0,27,494,2,3,0,2,1.0,57,MID
Fredrik,Aursnes,1,5,61,1307,17,6,0,1,16.5,65,MID
Emil,Breivik,1,6,55,1103,16,3,0,2,1.3,43,MID
Ohikhuaeme,Omoijuanfo,27,2,191,2360,32,12,0,3,43.6,123,FWD
Björn,Sigurdarson,0,0,1,13,0,0,0,0,2.5,98,FWD
David Datro,Fofana,0,1,22,305,9,0,0,0,4.4,90,FWD
Sondre,Rossbach,0,0,40,1530,32,2,0,1,5.4,53,GK
Leopold,Wahlstedt,0,0,40,1170,26,1,0,1,2.1,45,GK
Espen,Ruud,2,3,51,1724,42,1,0,1,1.0,68,DEF
John,Kitolano,0,2,50,2321,47,3,0,6,3.4,59,DEF
Steffen,Hagen,0,0,8,558,13,0,0,0,0.2,48,DEF
Odin Luras,Björtuft,0,1,56,2440,50,3,0,2,2.3,49,DEF
Solomon,Owusu,1,0,24,897,24,0,0,1,0.6,48,DEF
Kevin,Egell-Johnsen,0,0,1,55,3,0,0,0,0.0,45,DEF
Bjørn,Mæland,0,0,0,0,0,0,0,0,0.3,43,DEF
Eirik Asante,Gayi,0,0,0,0,0,0,0,0,0.8,39,DEF
Thomas,Hallstensen,0,0,1,5,0,0,0,0,0.2,40,DEF
Markus,Kaasa,2,3,80,2444,53,4,0,3,0.8,63,MID
Kristoffer,Larsen,1,2,37,601,14,1,0,0,0.2,64,MID
Gilli,Ròlantsson Sørensen,1,4,55,1661,37,1,0,3,0.1,59,MID
Onyekachi,Ugwuadu,0,1,8,43,2,0,0,0,0.1,52,MID
Joshua,Kitolano,2,2,75,2444,54,3,0,6,8.5,53,MID
Conrad,Wallem,3,3,72,1528,23,2,0,3,0.1,54,MID
Magnus,Lekven,0,0,51,2096,41,3,0,0,1.0,49,MID
Filip Rønningen,Jørgensen,2,1,80,2360,49,3,0,2,3.9,44,MID
Elias,Skogvoll,0,0,0,0,0,0,0,0,0.1,45,MID
Mushaga,Bakenga,11,1,79,879,11,2,0,4,8.0,98,FWD
Tobias,Lauritsen,8,3,92,1622,44,0,0,1,2.5,75,FWD
André,Hansen,0,0,73,2314,38,5,0,0,8.6,59,GK
Julian Faye,Lund,0,0,19,385,4,1,0,0,0.4,49,GK
