first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Lukas,Jonsson,0,0,0,0,0,0,0,0,3.6,43,GK
David,Mitov Nilsson,0,0,84,1530,23,4,0,0,6.1,51,GK
Hannes,Sveijer,0,0,16,360,10,1,0,0,6.3,40,GK
Tim,Björkström,0,0,59,1890,36,4,0,2,1.4,49,DEF
Patrick,Nwadike,0,0,41,812,14,3,0,0,0.5,40,DEF
Karl,Larson,0,1,30,421,8,1,0,0,0.4,46,DEF
Axel,Björnström,0,1,28,810,14,1,0,2,7.9,56,DEF
Kebba,Ceesay,0,0,0,0,0,0,0,0,0.1,50,DEF
Sam,Lundholm,0,0,0,0,0,0,0,0,0.0,53,MID
Simon,Gefvert,0,0,0,0,0,0,0,0,0.0,45,MID
Nahom,Girmai Netabay,3,2,71,1643,26,7,0,6,0.2,54,MID
Adam,Ståhl,4,2,88,1584,32,4,0,3,0.4,49,DEF
Mohammed,Saeid,1,1,23,357,9,0,0,1,2.5,60,MID
Jacob,Ortmark,4,2,101,2297,43,6,0,8,6.3,57,MID
Marcus,Mathisen,2,2,110,2430,44,6,0,5,1.6,51,MID
Aron,Bjarnason,0,0,2,18,1,0,0,0,0.2,52,MID
Adam,Hellborg,3,1,62,1656,39,2,0,11,7.2,43,MID
Yukiya,Sugita,0,0,38,1128,16,5,0,2,2.6,76,MID
Laorent,Shabani,1,6,84,1810,39,6,0,1,0.2,52,MID
Jamie,Roche,0,1,50,1304,31,1,0,2,1.0,43,DEF
Johan,Karlsson,1,1,37,682,16,0,0,1,0.3,43,DEF
Isak,Bråholm,0,0,0,0,0,0,0,0,0.0,45,MID
Joakim,Persson,0,0,3,28,0,0,0,0,0.5,44,FWD
Kennedy,Igboananike,0,0,0,0,0,0,0,0,0.1,55,FWD
Christian,Kouakou,12,3,128,2536,48,8,0,2,16.3,60,FWD
Ekin,Bulut,1,0,10,44,4,0,0,0,0.2,50,FWD
Joseph,Colley,0,0,64,1787,39,3,0,2,3.0,43,DEF
Samuel,Wikman,0,0,1,5,2,0,0,0,0.0,45,MID
Adam,Wikman,0,0,2,30,0,0,0,0,0.0,45,MID
Emil,Ozkan,0,0,0,0,0,0,0,0,0.0,45,MID
Tim,Olsson,0,0,1,6,0,0,0,0,0.0,40,DEF
Herman,Sjögrell,0,1,10,103,1,0,0,0,0.0,45,MID
Moustafa,Zeidan,3,1,72,1561,28,5,0,0,0.3,50,MID
Karim,Fegrouche,0,0,0,0,0,0,0,0,0.0,40,GK
August,Ahlin,0,0,33,810,20,1,0,1,0.1,45,GK
Edi,Sylisufaj,3,3,41,563,14,0,0,2,0.5,45,FWD
Noel,Hansson,0,0,0,0,0,0,0,0,0.0,40,DEF
Giannis,Anestis,0,0,130,2520,38,9,0,0,7.5,59,GK
Ole,Söderberg,0,0,0,0,0,0,0,0,0.5,49,GK
Tom,Amos,0,0,0,0,0,0,0,0,0.4,40,GK
