first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type
Eric,Kahl,0,0,4,187,3,0,0,1,3.1,61,DEF
Sotirios,Papagiannopoulos,2,1,146,2594,24,12,0,5,9.2,68,DEF
Per,Karlsson,0,0,8,201,4,0,0,1,0.8,57,DEF
Erick,Otieno,1,5,161,2593,25,11,0,4,39.7,71,DEF
Jetmir,Haliti,0,0,4,141,3,0,0,0,0.1,54,DEF
Mikael,Lustig,0,2,121,2412,20,12,0,3,4.7,73,DEF
Robin,Tihi,0,0,0,0,0,0,0,0,0.2,50,DEF
Lucas,Forsberg,0,0,0,0,0,0,0,0,0.1,43,DEF
Sebastian,Larsson,3,7,136,2209,17,11,0,12,11.8,99,MID
Saku,Ylätupa,1,4,46,796,10,3,0,2,4.8,58,MID
Ebenezer,Ofori,0,0,21,424,7,0,0,1,0.4,51,MID
Bilal,Hussein,1,1,105,2637,25,12,0,2,3.5,56,MID
Tom,Strannegård,1,1,27,352,3,2,0,1,0.2,53,MID
Nabil,Bahoui,10,0,107,1815,18,9,0,2,4.5,83,MID
Filip,Rogic,2,0,36,766,7,2,0,1,0.5,68,MID
Erik,Ring,0,3,36,813,10,4,0,1,0.4,47,FWD
Bojan,Radulovic,3,1,51,693,6,2,0,1,0.7,56,FWD
Stefan,Silva,0,0,5,152,3,0,0,1,0.3,52,FWD
Henok,Goitom,3,4,77,1635,13,7,0,0,3.6,77,FWD
Nicolás,Stefanelli,12,3,135,2216,19,11,1,0,17.9,78,FWD
Alexander,Milosevic,3,1,135,2358,18,12,0,5,15.8,69,DEF
Yasin,Ayari,0,0,17,293,2,1,0,0,0.1,43,MID
Joshua,Sivertsen,0,0,0,0,0,0,0,0,0.0,40,DEF
Zak,Elbouzedi,1,3,75,1579,13,8,0,2,1.2,60,MID
Kristoffer,Nordfeldt,0,0,58,1260,11,6,0,1,2.4,60,GK
Rasmus,Bonde,0,0,0,0,0,0,0,0,0.0,40,DEF
Samuel,Dahl,0,0,0,0,0,0,0,0,0.0,45,MID
Ahmad,Faqa,0,0,0,0,0,0,0,0,0.0,40,FWD
Calvin,Kabuye,0,0,0,0,0,0,0,0,0.0,40,FWD
Amar,Ahmed,0,0,0,0,0,0,0,0,0.0,45,MID
August,Strömberg,0,0,15,450,10,1,0,0,2.1,44,GK
Philip,Mårtensson,0,0,23,537,12,0,0,0,2.3,41,GK
Stojan,Lukic,0,0,91,1712,16,8,0,2,6.7,45,GK
Viktor,Dryselius,0,0,0,0,0,0,0,0,1.7,39,GK
Anton,Liljenbäck,1,2,89,1853,30,5,0,3,5.3,43,DEF
Hampus,Zackrisson,0,0,39,1469,25,3,0,7,1.1,42,DEF
Oliver,Stanisic,5,0,122,2045,25,8,0,4,3.8,47,DEF
Adama,Fofana,0,2,45,851,14,3,0,2,2.7,48,DEF
Nils,Bertilsson,0,0,0,0,0,0,0,0,1.2,38,DEF
Jon,Birkfeldt,0,0,32,867,16,2,0,1,1.5,47,DEF
Gideon,Mensah,0,0,36,1119,11,2,0,7,0.2,43,DEF
Robin,Tranberg,1,0,53,1416,16,6,0,8,0.3,49,MID
Joakim,Lindner,1,1,119,2665,38,9,0,2,3.6,46,DEF
Jean Carlos,de Brito,0,5,113,1859,22,8,0,6,7.1,48,DEF
Albin,Mörfelt,1,2,22,317,7,2,0,1,0.2,54,MID
Alexander,Johansson,3,3,42,599,11,0,0,3,0.1,45,MID
Albin,Winbo,1,0,38,920,19,2,0,8,0.1,49,MID
Victor,Karlsson,2,3,46,588,10,1,0,1,0.2,44,MID
Liam,Munther,0,0,0,0,0,0,0,0,0.1,43,MID
André,Boman,0,0,11,252,3,1,0,0,0.2,43,MID
Gustav,Nordh,0,0,0,0,0,0,0,0,0.2,43,MID
Luke,Le Roux,0,0,59,1688,22,8,2,6,0.1,48,MID
Keanin,Ayer,0,0,4,51,0,0,0,0,0.1,54,MID
Tashreeq,Matthews,5,6,118,1890,24,9,0,5,13.0,54,MID
Rasmus,Cronvall,0,0,1,7,0,0,0,0,0.8,39,FWD
Daniel,Krezic,0,0,1,24,0,0,0,0,0.2,53,FWD
Simon,Karlsson Adjei,4,2,61,1014,12,6,0,0,0.4,52,FWD
Robin,Simovic,3,0,49,1341,24,4,0,5,2.3,49,FWD
Montader,Madjed,0,0,2,43,2,0,0,0,0.1,44,MID
Albert,Ejupi,0,0,61,1712,19,7,0,6,0.1,54,MID
Ryan,Moon,7,1,75,1352,20,6,0,5,0.5,50,FWD
Dean,Solomons,0,0,1,6,1,0,0,0,0.0,44,DEF
Oliver,Alfonsi,1,1,27,466,5,2,0,3,0.0,45,MID
Des,Kunst,0,0,12,359,3,3,0,1,0.0,46,FWD
Adnan,Kojic,0,0,1,1,0,0,0,0,0.0,45,DEF
Noah,Johansson,0,0,0,0,0,0,0,0,0.0,40,DEF
Amin,Sarr,8,1,82,1537,18,9,0,2,8.2,54,FWD
Elias,Andersson,1,2,68,1296,9,11,0,1,2.8,66,MID
Carljohan,Eriksson,0,0,128,1800,14,13,0,1,13.0,53,GK
Samuel,Brolin,0,0,44,900,13,2,0,0,1.6,48,GK
Pontus,Zvar,0,0,0,0,0,0,0,0,0.8,39,GK
Eric,Björkander,1,0,52,990,13,3,0,0,2.0,49,DEF
Max,Watson,0,1,136,2605,26,15,0,2,5.6,51,DEF
Jasen,Khayat,0,0,0,0,0,0,0,0,0.1,44,DEF
Daan,Klinkenberg,0,0,20,513,7,1,0,0,0.1,46,DEF
Joel,Nilsson,5,6,166,2399,25,12,0,2,25.3,62,DEF
Josip,Filipovic,0,0,3,48,1,0,0,0,0.1,42,DEF
Kadir,Hodzic,2,3,149,2495,24,14,0,5,11.8,59,DEF
Andreas,Blomqvist,0,1,46,1067,13,2,0,1,0.2,51,MID
Adam,Petersson,0,0,5,48,0,0,0,0,0.1,44,MID
David,Löfquist,0,2,65,1594,20,6,0,5,3.1,60,MID
Viktor,Gustafson,0,2,67,1595,15,10,0,6,0.5,44,MID
Jesper,Gustavsson,0,1,79,2215,17,15,0,8,2.9,44,MID
Hampus,Holgersson,0,0,0,0,0,0,0,0,0.1,43,MID
Enoch,Kofi Adu,0,0,35,905,15,3,1,1,1.9,48,MID
Ludwig,Carlius,0,0,0,12,0,0,0,1,0.1,44,MID
Herman,Johansson,0,1,10,79,1,0,0,1,0.1,44,DEF
Jacob,Bergström,9,2,107,2276,22,11,0,3,5.5,62,FWD
Mamudu,Moro,6,1,64,804,6,4,0,3,2.6,50,FWD
Taylor,Silverholt,0,0,6,84,1,0,0,0,1.6,40,FWD
Neftali,Manzambi,0,0,4,37,0,0,0,0,0.0,52,FWD
Mark,Tokich,0,0,0,0,0,0,0,0,0.0,42,DEF
Ivan,Kricak,0,0,86,1957,21,11,1,8,1.2,44,DEF
Noah,Persson,0,0,11,186,3,1,0,0,0.2,39,FWD
Magnus,Wörts,0,0,25,553,7,2,0,0,0.0,50,DEF
Carlos,Moros Gracia,1,1,103,1461,9,12,0,2,2.6,47,DEF
Sam,Johnson,1,0,10,84,0,0,0,0,0.0,55,FWD
Otto,Rosengren,0,0,1,5,0,0,0,0,0.0,45,MID
Malkolm,Nilsson Säfqvist,0,1,154,2610,25,9,0,1,26.7,52,GK
Malte,Påhlsson,0,0,5,90,1,0,0,0,6.7,40,GK
Alexander,Berntsson,0,0,21,213,1,1,0,0,0.2,43,DEF
Andreas,Bengtsson,0,1,117,2675,26,9,0,2,0.8,50,DEF
Andreas,Johansson,1,0,131,2700,26,9,0,2,5.0,57,DEF
Edvin,Kurtulus,0,2,121,2379,22,9,0,5,5.8,48,DEF
Isac,Larsson,0,0,0,0,0,0,0,0,0.9,38,DEF
Joseph,Baffo,0,0,107,2512,25,8,0,5,1.8,54,DEF
Viktor,Ljung,0,0,0,0,0,0,0,0,0.3,39,DEF
Dusan,Djuric,0,0,1,22,0,0,0,0,0.3,45,MID
Emil,Tot Wikström,1,1,58,1237,11,5,0,1,0.3,50,MID
Erik,Ahlstrand,0,1,25,458,11,0,0,1,0.6,43,MID
Joel,Allansson,0,1,97,2581,23,10,0,3,0.5,49,MID
Jonathan,Svedberg,0,0,0,0,0,0,0,0,0.0,44,MID
Samuel,Kroon,2,1,82,1757,16,9,0,1,0.2,63,MID
Simon,Lundevall,0,2,49,1026,11,5,0,3,0.7,47,MID
Thomas,Boakye,0,3,52,1356,11,6,1,2,1.2,47,MID
Amir,Al-Ammari,3,1,105,2610,25,9,0,5,0.9,60,MID
Alexander,Johansson,0,0,7,90,2,0,0,1,2.5,36,FWD
Mikael,Boman,2,1,51,1086,12,5,0,0,2.0,51,FWD
Sadat,Karim,5,3,94,1928,15,11,0,0,1.4,54,FWD
Phil,Ofosu Ayeh,0,0,1,19,0,0,0,0,0.1,47,DEF
Marcus,Antonsson,6,0,88,2279,23,7,0,0,9.1,68,FWD
Albin,Binnefors,0,0,0,0,0,0,0,0,0.4,37,FWD
Kasper,Karlsson,0,0,0,0,0,0,0,0,0.1,45,MID
Jeffrey,Gal,0,0,23,360,4,2,0,0,10.8,39,GK
Anton,Kralj,0,1,52,1328,25,4,0,1,1.1,43,DEF
Christoffer,Wiktorsson,0,0,0,0,0,0,0,0,3.8,37,DEF
Gustav,Granath,0,1,35,1033,21,2,0,1,0.3,49,DEF
Daniel,Janevski,0,0,22,469,7,2,0,0,0.2,43,DEF
Oliver,Ekroth,1,1,90,2295,47,3,0,6,1.3,48,DEF
Hugo,Claesson,0,0,0,0,0,0,0,0,1.8,40,GK
Jonathan,Tamimi,0,0,18,472,12,0,0,1,0.6,45,DEF
Erik,Lindell,0,2,56,1534,29,2,0,2,0.4,50,DEF
Sebastian,Ohlsson,0,3,108,2540,45,7,0,5,1.0,50,DEF
Abdelrahman,Saidi,4,4,101,1866,35,6,0,4,3.0,50,MID
Nicklas,Maripuu,0,0,3,49,0,0,0,0,0.7,43,MID
Ferhad,Ayaz,1,1,38,738,14,3,0,0,0.4,48,MID
Johan,Bertilsson,8,3,106,1858,37,6,0,1,4.5,60,MID
Christos,Gravius,0,3,94,2354,46,5,0,6,0.8,49,MID
Adam,Carlén,1,2,91,2477,45,6,1,4,3.9,44,MID
Adhavan,Rajamohan,0,0,9,68,3,0,0,1,0.1,48,MID
Villiam,Dahlström,2,1,38,576,13,1,0,1,0.3,53,FWD
Victor,Edvardsen,14,5,153,2545,49,6,1,2,30.5,72,FWD
Sargon,Abraham,0,1,33,787,13,1,0,0,3.9,56,FWD
Tufve,Östlund,0,0,0,0,0,0,0,0,1.1,39,DEF
Sean,Sabetkar,0,0,66,1957,36,6,0,5,0.4,48,DEF
Justin,Salmon,0,0,13,367,4,2,0,1,0.0,50,MID
Axel,Lindahl,1,1,55,805,12,5,0,2,0.1,44,DEF
Alfie,Whiteman,0,0,48,1170,24,1,0,1,1.4,46,GK
Karl,Serrano,0,0,0,0,0,0,0,0,0.9,39,GK
Nikola,Djurdjic,2,1,29,724,16,1,0,3,0.3,69,FWD
Jakob,Andersson,0,0,1,10,1,0,0,0,0.0,44,MID
